Year,Consumer price index (2010 = 100),Wholesale price index (2010 = 100)
1970,34.6789696270666,10.4768088769179
1971,30.8015261801816,11.4212128399927
1972,23.3061331544094,12.0121556706887
1973,24.6247718946109,12.9123769922162
1974,25.1666114421525,15.7952943531815
1975,28.081639387164,19.4144648177648
1976,27.0055767239068,22.6198154036457
1977,28.179669268803,26.9053060119023
1978,26.0795242178875,29.3251002178738
1979,22.582210255847,32.7899649649748
1980,22.0277038533066,38.008303774374
1981,22.558685118263,42.0833774951549
1982,25.0171028194923,45.6674784784922
1983,25.7067572604603,48.6343565919006
1984,28.0382708123449,51.5240818465679
1985,27.1421284869709,54.7294324324489
1986,25.1444750157385,55.4588776423649
1987,21.8638944464723,57.3596435258961
1988,55.456067554779,59.470826296903
1989,58.3606318701317,62.311454277826
1990,62.4299337555507,66.2041666961278
1991,67.1325616946932,69.7672259907176
1992,69.9934483511684,71.9437998333928
1993,71.7478343160806,74.792336070451
1994,73.1673582295989,76.6621444722123
1995,75.1110140496469,79.7444067594906
1996,76.974594161753,81.8333333333333
1997,78.3431608065807,82.625
1998,79.587974084589,82.6833333333333
1999,80.6507971172745,83.1333333333333
2000,81.284123170998,84.3166666666667
2001,82.2887093251802,84.0666666666667
2002,83.3224139186139,83.9583333333333
2003,84.4580330494285,84.5166666666667
2004,85.5936521802431,85.35
2005,87.3480381451555,87.0083333333333
2006,89.3863288927714,88.7666666666667
2007,91.4610176894519,90.8083333333333
2008,94.7659605445145,96.9416666666667
2009,96.8188105117563,97.4
2010,100,100
2011,104.484239644755,104.8
2012,107.432481618985,107
2013,110.176894518454,108.4
2014,111.785688287108,108.4
2015,111.841604429644,106.566666666667
2016,10,30.9
